Open,High,Low,Close,Adj Close,Volume
5.720357,5.745714,5.616429,5.717857,4.874004,433311200
5.674286,5.717857,5.628571,5.714286,4.870959,363554800
5.675,5.730357,5.651786,5.715357,4.871871,382158000
5.775,5.882857,5.767857,5.813929,4.955898,469604800
5.821071,5.892857,5.818214,5.835357,4.974163,422536800
5.900357,5.951429,5.888214,5.943929,5.066712,394240000
5.890357,5.913214,5.864643,5.9125,5.03992,395810800
5.919643,5.978214,5.864643,5.896786,5.026525,423183600
5.913571,5.946786,5.824643,5.853929,4.989995,341616800
5.910357,5.95,5.885714,5.911071,5.038702,387354800
5.916429,5.95,5.845,5.882857,5.014652,300294400
5.846071,5.870714,5.781429,5.815357,4.957114,355342400
5.805357,5.953929,5.802143,5.903929,5.032615,445071200
5.951786,6.023929,5.946429,6.015,5.127294,439980800
5.997857,6.008214,5.911786,5.956429,5.077367,305816000
5.841071,5.8425,5.693571,5.699643,4.858479,524381200
5.7725,5.865714,5.764643,5.857143,4.992734,431152400
5.8125,5.903571,5.801786,5.878571,5.011,413271600
5.892143,5.954286,5.878929,5.940357,5.063668,342031200
5.9875,6.048929,5.957143,6.043571,5.151648,416074400
6.075714,6.096786,6.009643,6.037857,5.146777,406929600
6.052143,6.105,6.040357,6.05,5.157129,324354800
6.032857,6.055357,5.955714,5.978929,5.096546,303998800
6.026786,6.056071,5.886786,6.051786,5.158651,449181600
6.1525,6.160357,6.018929,6.073214,5.176916,453700800
6.005714,6.030357,5.946429,6.0075,5.120901,311337600
5.999643,6.071429,5.890714,5.903571,5.03231,469028000
5.879286,5.986071,5.861071,5.899286,5.028657,364249200
5.944286,5.967857,5.892857,5.948214,5.070364,293955200
5.974286,6.096429,5.9675,6.0825,5.184832,374628800
6.177857,6.183571,6.142857,6.176071,5.264593,315047600
6.170714,6.231071,6.060714,6.112143,5.210101,811087200
6.145,6.1875,6.100357,6.162857,5.25333,491134000
6.175357,6.185,6.1025,6.148571,5.241151,348961200
6.101071,6.210714,6.080357,6.204286,5.288645,322011200
6.215714,6.273214,6.199643,6.255714,5.332483,426470800
6.356786,6.526786,6.352857,6.495357,5.536758,754023200
6.499286,6.671071,6.498929,6.591071,5.618348,810572000
6.636786,6.6625,6.598571,6.607857,5.632656,601582800
6.581786,6.612857,6.486429,6.572143,5.602212,437715600
6.613929,6.620714,6.530357,6.588571,5.616216,356753600
6.621429,6.746429,6.608214,6.625,5.647268,593563600
6.685714,6.703571,6.5275,6.565,5.596123,550880400
6.500357,6.625,6.48,6.513214,5.55198,445239200
6.566786,6.667143,6.5475,6.648214,5.667057,337444800
6.668929,6.692857,6.5825,6.620714,5.643614,345385600
6.6475,6.658929,6.521786,6.619643,5.642702,539585200
6.619643,6.650714,6.453571,6.459286,5.506011,524711600
6.478929,6.640714,6.476786,6.603571,5.629001,553308000
6.65,6.673571,6.581071,6.643571,5.663098,423133200
6.705,6.786071,6.689286,6.786071,5.784569,605085600
6.777143,6.805357,6.751071,6.794643,5.791874,465668000
6.809286,6.8375,6.746071,6.759643,5.762041,438211200
6.748929,6.810714,6.736429,6.8025,5.798573,293272000
6.822143,6.839643,6.772857,6.814643,5.808925,288024800
6.808214,6.8275,6.775,6.786429,5.784873,348020400
6.866071,6.868571,6.793929,6.831786,5.823537,375510800
6.7725,6.818571,6.768929,6.805714,5.801312,373556400
6.7625,6.798571,6.708571,6.716071,5.724899,431426800
6.708929,6.785714,6.626786,6.780714,5.780003,942230800
7.164286,7.205357,7.066071,7.098571,6.050946,1141039200
7.125714,7.453929,7.115357,7.318571,6.238481,1193726800
7.310714,7.423214,7.2325,7.328571,6.247005,791392000
7.346429,7.35,7.258214,7.283571,6.208644,420786800
7.273929,7.383929,7.146429,7.231429,6.164198,484338400
7.202143,7.243214,7.016071,7.048929,6.008632,756551600
7.061071,7.072143,6.825,6.871429,5.857329,818386800
6.964286,7.028929,6.862143,7.0125,5.97758,570270400
7.002143,7.028571,6.720357,6.732143,5.738599,717525200
6.778571,6.888571,6.6275,6.761071,5.763258,678983200
6.708929,6.768571,6.64,6.741071,5.746211,522541600
6.811786,6.923214,6.793929,6.814643,5.808925,487530400
6.871429,6.964286,6.850714,6.929643,5.906951,384801200
6.875357,6.971071,6.871429,6.940714,5.916387,295097600
7.033571,7.210714,7.009286,7.195,6.133147,528855600
7.179286,7.320714,7.178929,7.249286,6.179422,401195200
7.305714,7.321429,7.208214,7.258929,6.18764,443870000
7.255,7.316786,7.193929,7.213929,6.149282,363731200
7.245357,7.315357,7.216786,7.301786,6.224175,343240800
7.338571,7.428571,7.321786,7.379643,6.29054,485206400
7.36,7.408571,7.321429,7.392857,6.301803,396513600
